id,name,type,stock,basePrice,purchasePrice,purchaseDate,supplier,image
0E8XQtvodMarOpI0TxEW,Tripode Mesa Mini,producto,1,2666,7000,,,
1,Lengua de suegra Grande,Plantas de Interior,0,1500,7500,2025-07-03,,
10,Palo de Agua Grande,Plantas de Interior,7,5714.29,19000,2025-10-09,Virginia,
11,Helecho,interior,4,2650,10000,,,
12,Potus,Plantas de Interior,23,5141.73,13000,2025-08-05,EBENECER,
13,Potus Variegado,Plantas de Interior,3,7533.33,15000,2025-08-05,EBENECER,
14,Potus Limon,interior,4,5500,11000,,,
15,Filodendro Peruviano,Plantas de Interior,5,6000,13000,2025-09-11,EBENECER,
16,Oreja de Elefante,interior,5,4500,13000,,,
17,Calathea Makoyana,Plantas de Interior,2,9750,23000,2025-09-11,,
1751115167964,Ficus Colgante,Plantas de Interior,3,3700,11000,2025-09-11,EBENECER ,
1751402221795,Chamadorea,Plantas de Interior,4,7400,19000,2025-08-05,EBENECER,
1751402221796,Veronica 3 Litros,Plantas de Exterior,0,3500,7000,2025-08-01,Bonsai,
1751402221797,Jazmin del Cabo Grande,Plantas de Exterior,2,7000,19000,2025-08-01,EBENECER ,
1751402221798,Ficus Variegado,Plantas de Interior,0,5000,14000,2025-08-01,,
1751402221799,Jazmin Kimura,Plantas de Exterior,2,4500,10000,2025-08-01,Bonsai,
1751402221800,Gipsofila,Plantas de Exterior,12,2423.08,7000,2025-08-05,EBENECER,
1751402221801,Aromaticas,Aromaticas,13,490.63,1500,2025-08-08,Bonsai,
1751402221806,Cherry,Aromaticas,4,600,1500,2025-08-08,Bonsai,
1751402221807,Frutlla,Aromaticas,5,600,1500,2025-08-08,Bonsai,
1751402221808,Rubra Mediana,Plantas de Interior,2,3500,12000,2025-08-08,,
1751402221809,Calathea Tricolor mediana,Plantas de Interior,1,7000,15000,2025-08-09,,
1751402221810,Ficus verde,Plantas de Interior,2,3700,14000,2025-08-09,,
1751402221811,Spatifilium grande,Plantas de Interior,2,8000,20000,2025-08-09,Ebenecer ,
1751402221812,Spatifilium mini,Plantas de Interior,1,3000,12000,2025-08-09,Virginia,
1751402221813,Asplenium Mini,Plantas de Interior,3,3200,7000,2025-07-18,EBENECER,
1751402221815,Dimorfoteca 3lts,Plantas de Exterior,6,2416.67,6000,2025-09-12,Nuevo (primo EBENECER ),
18,Asplenium,Plantas de Interior,0,4600,13500,2025-07-01,,
1XqemsPzLAg8xcFCmHGf,Alita de Angel,producto,2,700,2000,,,
2,Florales,Plantas de Exterior,297,681.79,2000,2025-10-10,Bonsai,
22,Mariana,Plantas de Interior,10,5000,20000,2025-07-01,,
23,Mariana Mini,Plantas de Interior,5,4200,10000,2025-08-08,EBENECER ,
24,Calathea Mil Rayas,Plantas de Interior,0,3500,15000,2025-08-08,Virginia,
